booktitle,Author,Publisher,ReleaseDate
b'Learning Python',b'Mark Lutz',"b""O'Reilly Media""",b'June 2013'
b'Web Scraping with Python',b'Ryan Mitchell',"b""O'Reilly Media""",b'November 2017'
b'Python Coding for Kids',b'Don Wilcher',"b'Maker Media, Inc'",b'September 2017'
b'Python Machine Learning By Example',b'Yuxi Liu',b'Packt Publishing',b'May 2017'
b'Python Data Structures and Algorithms',b'Benjamin Baka',b'Packt Publishing',b'May 2017'
b'Python in a Nutshell',"b'Alex Martelli, Anna Ravenscroft, Steve Holden'","b""O'Reilly Media""",b'April 2017'
b'Invent Your Own Computer Games with Python',b'Al Sweigart',b'No Starch Press',b'December 2016'
b'Head First Python',b'Paul Barry',"b""O'Reilly Media""",b'November 2016'
b'Integrating Python with Leading Computer Forensics Platforms',b'Chet Hosmer',b'Elsevier / Syngress',b'September 2016'
b'Data Science Essentials in Python',b'Dmitry Zinoviev',b'Pragmatic Bookshelf',b'August 2016'
