"","x"
"1","Finland’s Move to Join NATO Upends Putin’s War Aims"
"2","The U.S. embraced Finland’s move toward NATO membership, but what about Ukraine?"
"3","A major donation to Britain’s Conservative Party was tracked to a Russian bank account, fueling concern."
"4","Senator Rand Paul single-handedly delayed a bipartisan effort to quickly send $40 billion in aid to Ukraine."
"5","Jan. 6 Panel Subpoenas 5 Republicans, Including McCarthy"
"6","Prosecutors Pursue Inquiry Into Trump’s Handling of Classified Material"
"7","Mark Esper was the latest Trump administration official to say that former President Trump posed a threat to democracy."
"8","Cryptocurrencies Melt Down in a ‘Perfect Storm’ of Fear and Panic"
"9","Wall Street edged lower on Thursday, with the S&amp;P 500 hovering above bear market territory."
"10","Africa’s First Covid-19 Vaccine Factory Has Not Received a Single Order"
"11","North Korea said Covid was spreading “at an explosive rate” in the country and that six people had died."
"12","Meatpackers misled the public and influenced the Trump administration during the pandemic, a congressional report said."
"13","The Looming End to Abortion Rights Gives Liberal Democrats a Spark"
"14","Protests at Justices’ Homes Fuel Rancor in Debate Over Roe"
"15","After a tense debate, Louisiana lawmakers scrapped legislation that would have classified abortion as homicide."
"16","Conor Lamb Had All the Makings of a Front-Runner. Why Is He Struggling?"
"17","How Two Middle School ‘Desperadoes’ Ended Up in a Police Shootout"
"18","The Most Famous Girl at the Waffle House"
"19","He Returned to the Grand Canyon, With His Mother’s Ashes"
"20","A couple wanted a Hamptons home with investment potential for $2 million. Which would you choose?"
"21","Butt lifts are booming. Healing is no joke."
"22","International Reporting: The Times revealed the hidden casualties in thousands of U.S. military airstrikes."
"23","National Reporting: Our series uncovered the killings of unarmed motorists in minor traffic stops."
"24","Criticism: Salamishah Tillet examined the art world’s response to the Black Lives Matter movement."
"25","Your Thursday Evening Briefing"
"26","Read the Watching Newsletter"
"27","Listen to the ‘Book Review Podcast’"
"28","<U+6D77><U+5916><U+534E><U+4EBA><U+672D><U+8BB0>:<U+4ECE>“<U+52A8><U+6001><U+6E05><U+96F6>“<U+5230>”<U+5165><U+5BA4><U+6D88><U+6740>“,<U+4F60><U+80FD><U+770B><U+61C2><U+75AB><U+60C5><U+8BCD><U+6C47><U+5417><U+FF1F>"
"29","11 Dead After Boat Carrying Migrants Capsizes Near Puerto Rico"
"30","F.B.I. Told Israel It Wanted Pegasus Hacking Tool for Investigations"
"31","Naomi Judd Died of a Self-Inflicted Gunshot Wound, Her Daughter Says"
"32","White House Says It Will Address Baby Formula Shortage"
"33","Ernie Barnes’s Iconic ‘Sugar Shack’ Painting Sells for $15.3 Million"
"34","In Palestinian Journalist’s Killing, Bullet Is at Center of Contention"
"35","N.F.L. Releases 2022 Regular-Season Schedule"
"36","Biden’s Summit of the Americas Is Threatened by Boycotts and Confusion"
"37","Twitter Fires 2 Executives and Freezes Most Hiring After Deal"
"38","F.A.A. Revokes Pilot Licenses After Midair Plane-Swapping Stunt"
"39","Pentagon Praises a Times Series That Exposed Civilian Deaths in Air War"
"40","Common Medications Can Prolong Back Pain When Overused, Study Says"
"41","The Mundane Thrill of ‘Romanticizing Your Life’"
"42","More People Are Microdosing for Mental Health"
"43","When Dementia Strikes at an Early Age"
"44","My Husband Had Postpartum Depression"
"45","In Defense of Melancholy"
"46","Italy’s Eurovision Entry Signals the Country’s Changes"
"47","‘Pleasure’ Review: She’s a Go-Getter"
"48","A 9-Hour Play? Sit, Eat, Drink, Even Fall Asleep to ‘One Night.’"
"49","Selma Blair Shares What Books Are on Her Night Stand"
"50","Spelling Bee"
"51","Wordle"
"52","The Crossword"
"53","New York Times Games"
"54","Letter Boxed"
"55","Tiles"
